Number,Opened,Short description,Priority,State,Assignment group,Template,Description,Company,Impact,Urgency,Vendor group
INC0951490,2021-05-13 14:12:44,WMOS 2018 Issue (Metapack does not printing any shipping labels),1 - Critical,Closed,Apps - CG WM0S 2018,Issue with software: WMOS 2018,"IMPORTANT FOR DC: In case of HPI, please obtain below information:
If the issue is not resolved soon, how will it impact DC operations? May the incident cause a complete and immediate work stoppage affecting whole DC?

User Name:-    DAIGA RUNCITE

User ID:-    Runcite_D

Tel:- 0151556 6626

1. Problem:-    Metapack does not printing any shipping labels. Also consolidation area affected. Receiving message on the scanner screens- Matapack request to add parcel or print lable , failed or took too long. ( We are unable to despatch anything from eCommerce)

Packers does not have any error messages on their screens


2. Priority Required:- P1
 
3. Potential Impact Now:-Impact - possible Next day order delivery failure, Standard + Click and Collect SLA order failure.


4. Potential Impact if not resolved within 2 hours:- 

5. If this is relating to a report issue, what is the name of the report?:-       

6. Is this a single user / multiple user issue?    
(If multiple users are affected, can they provide few user-ids)

7. Is the whole DC experiencing the problem or one particular Department?      

8. What type of device is being used e.g. Scanner  
If they issue is with scanner, have they checked the scanner & nearby access point signal? Is it at good strength?   

9. Can you access the WMoS screen on the PC?

10. What time the issue started:

11. What were you doing when the issue occurred and which screen were you accessing, menu option etc.      

12. At what point did the task fail?       

13. Are there any error messages, any DB error message(if possible attach screenshot or text message):-      

14. If it's a hanging task, did it stop midway through?       

15. Any other relevant information -       

16. **KNOWSLEY DC ONLY READ FOLLOWING STATEMENTS FULLY** 
DC management state that if performance is affected then a restart is required!

Given this requirement what time would be best for the DC to take an outage of approx 1 hour? 
an email to the DC Manager will be required to confirm this information, especially if they say the restart is not required.
Speak to Team Leader to advise of issue.

INFORMATION    All calls should be assigned to the WMOS2008 queue for initial assessment and re-assignment if necessary.  

Hardware is on a HP Platform and is supported by Offshore HPUX Team.    

Webservers are supported by the Wintel Server Desktop Team.    

Manhattan provide 3rd line support for the WMOS Application. The WMOS Team will determine whether or not the call needs to be logged to Manhattan.        

KB0014198 [Matalan] E-Commerce Orders checking.
KB0014602 [Matalan] How to proceed when Orders do not go through from WM system to Nova?
KB0014810  [Matalan] How to proceed with WMOS system failure? Warehouse Management System- WMOS (WM). Server issue.
KB0014740  [Matalan] WMOS in Galaxy and Corby- access links.
KB0014486 [Matalan] WMOS - How to proceed ILPN/ LPN/ oLPN issues (DC)?
KB0014873 [Matalan] WMOS - User cannot run waves. Waves issue. SQL Developer. DC
KB0014591 [Matalan] How to proceed with order status change request (WMOS/E-comm)?
KB0014758 [Matalan] WMOS 2018 - Corby DC WMOS issues. CDC
KB0014138 Heap Usage Alert from WMoS
",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0948216,2021-05-12 16:28:21,Multichannel Issue <Matalan website down>,1 - Critical,Closed,Apps - CG Multichannel Support,Issue with Software: Multichannel,"Name: Liam

Store Number:

Issue: Liam called to report that Matalan website is down. Main page loading other options doesn't work. Error message 503 time out

N.B

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

Please see:
KB0014553 [Matalan] How to proceed when Matalan website is down (DOWN alert: Matalan - Live (www.matalan.co.uk
KB0014521 [Matalan] How to proceed when user cannot access Matalan website?
KB0014386 [Matalan] How to proceed with SHIFT (CTG/ CTS/ FLEX ) Matalan website request/issue?
KB0014411 [Matalan] How to handle Matalan Application issue? Reward Card App.",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0840401,2021-04-23 11:39:09,Multichannel Issue :Matalan Website Cached Areas Are Failing To Load,1 - Critical,Closed,Apps - CG Multichannel Support,Issue with Software: Multichannel,"Name: Liam Russell

Store Number: n/a

Issue: Matalan website is currently down. Any uncached areas such as search, add to bag, checkout or my account are failing to load


N.B

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

Please see:
KB0014553 [Matalan] How to proceed when Matalan website is down (DOWN alert: Matalan - Live (www.matalan.co.uk
KB0014521 [Matalan] How to proceed when user cannot access Matalan website?
KB0014386 [Matalan] How to proceed with SHIFT (CTG/ CTS/ FLEX ) Matalan website request/issue?
KB0014411 [Matalan] How to handle Matalan Application issue? Reward Card App.",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0826103,2021-04-21 10:45:37,"Network cab in W1 area in CDC is down, request for P1",1 - Critical,Closed,IS - CG Service Desk,Issue with Network/Connectivity: Head Office / DC,"User:    Danielle
Extension Number: 01536273326
Fault:   Network cab in W1 area in CDC is down, request for P1

Additional Question:
User ID:-      
1. What is the problem?
2.  What is the business impact?
(Describe business impact on the company) 
- How does the problem affect your daily work?
- What is the business function of the system?)
3. Is this a single user / multiple user issue?    
(If multiple users are affected, can they provide few user-IDs)
4. Is there any workaround?
5. Have you tested it on another PC?

KB0014377 [Matalan] Network issue in Distribution Centre/ Head Office.? 
KB0014510 [Matalan] How to check LAN/ WAN status? Network issue.
KB0014312 [Matalan] How to proceed with Router Hardware issue?""
",Matalan,1 - Extensive/Widespread,1 - Critical,3rd Party - Corby DC
INC0792317,2021-04-14 10:13:55,Network outage at all Matalan sites ,1 - Critical,Closed,IS - CG Service Desk,Issue with Network/Connectivity: Head Office / DC,"User:    Nicola McKenna
Extension Number: 6543
Fault:   internet went down

Additional Question:
User ID:-      
1. What is the problem?
2.  What is the business impact?
(Describe business impact on the company) 
- How does the problem affect your daily work?
- What is the business function of the system?)
3. Is this a single user / multiple user issue?    
(If multiple users are affected, can they provide few user-IDs)
4. Is there any workaround?
5. Have you tested it on another PC?

KB0014377 [Matalan] Network issue in Distribution Centre/ Head Office.? 
KB0014510 [Matalan] How to check LAN/ WAN status? Network issue.
KB0014312 [Matalan] How to proceed with Router Hardware issue?""
",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0695532,2021-03-23 12:42:43,Multi-stage Security  incident ,2 - High,Closed,IS - CG Wintel Backoffice,Security alerts,"User name / mailbox name:  Zchan_p
Issue / Alert description: Multi-stage incident involving Initial access & Discovery on multiple endpoints reported by multiple sources.
This user has been suspended by Matalan ,this user has no login attempts so its presumed that it is used in some script which uses the Credentials to do scans .

Follow one of below KBA:
KB0012155 [Matalan] Office 365 - Security alert: Unusual File/Folder Activity
KB0012148 [Matalan] Office 365 - Security alert: A Low Severity Alert: RecipientRateLimitExceeded",Matalan,3 - Moderate/Limited,1 - Critical,
INC0724239,2021-03-29 06:59:06,Delay in ECOM Orders | ESB_B_900_20,1 - Critical,Closed,Apps - CG Multichannel Support,Auto Alert,"*Important: for Control-M alert please use Control-M as a Customer. Do not use Unknown User unless it is really impossible to identify a user!*

Hi Team,

Please note there are no ECOM orders received in ESB from KIBO for last '311' minutes.

Please contact the Multichannel Support/ESBSupport team for this incident to review in delay of ECOM orders from KIBO.


The last order received from KIBO is

KIBO Order ID   : 170813281
Status in ESB DB   : NEW
Created Datetime   : 2021-03-29 01:42:21.42


Regards,
ESB Support Team

-- 



Please see:
KB0014827  [Matalan] Control M (Control_M_alert). MAT Tivoli Autologged.
KB0014553 [Matalan] How to proceed when Matalan website is down (DOWN alert: Matalan - Live (www.matalan.co.uk) is DOWN)? Matalan website issue/ request.
KB0014880 [Matalan] ESB Tivoli autologs - Multichannel
KB0014885 [Matalan] ESB Tivoli autologs Nova
KB0014886 [Matalan] ESB Tivoli autologs - SEG2OSG
KB0014887 [Matalan] ESB Tivoli autologs
KB0010167 [Matalan] ESB - How to proceed with ESB excluded from automation?
",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0729660,2021-03-30 08:23:28,Numero Email Issue,1 - Critical,Closed,IS - CG Wintel Backoffice,Issue with Software: Numero,"Reoccurrence of issue previously reported in INC0712754
Name of User:- balamurali m

Role:- MIM

Store Number:- N/A

Fault details:-  Numero/Lokulus Emails noy processing, this is impacting emails into Customer Services.

Card number is provided in WI 

Thanks in advance.


- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6. Have you tested it on another PC?


Please see:
KB0014193 [Matalan] How to proceed with Numero website issues?
KB0014712 [Matalan] How to contact with Numero? Logging a case with Numero support.
KB0014196 [Matalan] How to proceed when user's access is not allowing the required/expected access (Numero)?
KB0014295 [Matalan] How to proceed with Numero functionality (functional not customer data) issue? A Function/
KB0014449 [Matalan] How to proceed when Numero Interactive is running slow?
KB0014549 [Matalan] How to proceed when user requests to generate a CSR for a new SSL certificate as the curre",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0712754,2021-03-25 21:41:15,Numero Email Issue,1 - Critical,Closed,IS - CG Wintel Backoffice,Issue with Software: Numero,"Name of User:- balamurali m

Role:- MIM

Store Number:- N/A

Fault details:-  Numero/Lokulus Emails noy processing, this is impacting emails into Customer Services.

Card number is provided in WI 

Thanks in advance.


- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6. Have you tested it on another PC?


Please see:
KB0014193 [Matalan] How to proceed with Numero website issues?
KB0014712 [Matalan] How to contact with Numero? Logging a case with Numero support.
KB0014196 [Matalan] How to proceed when user's access is not allowing the required/expected access (Numero)?
KB0014295 [Matalan] How to proceed with Numero functionality (functional not customer data) issue? A Function/
KB0014449 [Matalan] How to proceed when Numero Interactive is running slow?
KB0014549 [Matalan] How to proceed when user requests to generate a CSR for a new SSL certificate as the curre",Matalan,1 - Extensive/Widespread,2 - High,3rd Party - Numero (Pending)
INC0674789,2021-03-18 15:34:45,SW Nova slowness,1 - Critical,Closed,CG CCP operations - L2,Issue with Software: Nova - Generic Issue,"**On Matalan Account if password needs to be shared over an email while account creation it is advisable to share the user id and password over separate email and only to the concerned person. Under no circumstances the password should be shared to one who is not authorized to use the same.**


Name: 

Issue: 
Location : Other
Please enter the location : All locations using Nova
Contact number : 07817949862
Affected service/device : Nova
Issue you are having : Delays logging in and general performance issues. Taking nearly 1 minute to log into nova
Steps to reproduce incident : Logging into not using userid and password
Note: : Please add screenshot

Nova/GUI Logon: 

Programe Name: pennine/Nova/CRT

Additional questions:    

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

IMPORTANT: If we have tills with the wrong PLU details, then a callout should be initiated to CG Retail Java Support to resolve, no matter how many tills are affected, support teams will support over the weekend.

See also:
KB0010293 [Matalan] How to handle issues with access to Nova?
KB0014565  [Matalan] How to proceed when Nova Support requests new ticket creation that needs to be raised with K3?
KB0014348  [Matalan] How to proceed with Nova Proj7 Environment Refresh request (Nova Training Database Refresh)?
KB0014445  [Matalan] How to solve issue with file uploads into Nova (error message: File or Directory not found/ File in use by another process)?
KB0014770  [Matalan] Code change – SDN (Software Delivery Number) Process (Nova and WMOS).
KB0014237  [Matalan] Unable to print from Pennine/Nova.
KB0014646  [Matalan] How to proceed with NOVA Weekly GFK Homeware Sales Extract (GFKWeekly_(DATE).CSV) issue?
KB0014660  [Matalan] Order Printing - Unable to retrieve file from Pennine/ Nova error.
KB0014300  [Matalan] Nova/ Pennine- Programs Not In Scope.
KB0014534  [Matalan] Nova/ CRT/ Pennine Job Controllers error. How to proceed with the Nova/ CRT/ Pennine Job Controllers error? Job controller has not been fund? WMoS Job Controller (MAIFJCX)
KB0014813  [Matalan] Nova/ CRT/ Pennine application – general overview.
KB0014554  [Matalan] Nova/ Pennine manual. How to use Pennine / Nova
KB0014661  [Matalan] Nova/ CRT/ Pennine – Terminate RF. User locked in session
KB0014655  [Matalan] Nova - E-Comm PayPal Returns.
KB0014618  [Matalan] How to cancel a print job in Pennine/ Nova?
KB0014148  [Matalan] How to kill Nova session? Terminate session in Nova.
KB0014612  [Matalan] Checking for Locks in Pennine/ Nova/ CRT. How to check Locks in Pennini/ Nova/ CRT?
KB0014391  [Matalan] How to check if a Pennine/Nova Account is valid?
KB0014540  [Matalan] How to turn on automatic logon to Nova application on your PC?
KB0010132 [Matalan] Unable to print from Pennine/Nova.
KB0014370 [Matalan] Nova / Pennine / CRT software / application issue
KB0014821 [Matalan] IFGRN file processing issue.
KB0014446 [Matalan] How to proceed with Hallmark Sales File?
KB0014713 [Matalan] Ghost Ringfence Issue.
KB0014762 [Matalan] Stock Database.
",Matalan,1 - Extensive/Widespread,2 - High,3rd Party – Maintel (In Progress)
INC0666869,2021-03-17 09:44:53,E-Comm: Issue issue with zebra printers ,1 - Critical,Closed,Apps - CG WM0S 2018,Issue with E-commerce,"IMPORTANT FOR DC: In case of HPI, please obtain below information:
If the issue is not resolved soon, how will it impact DC operations? May the incident cause a complete and immediate work stoppage affecting whole DC?

Logged By:-    
Name   Clifford Lawrence
Email address -      lawrence_c@matalan.co.uk
Contact number- His number is: 07568429321 until 2 pm 01515566238 after 2pm.
Issue - Can I raise a call with an ongoing issue INC0659615. The issue was ""resolved"" yesterday but the issue is still happening. The Zebra printers are failing to print any meta pack labels even after restarting the PC's.


Is general Network access affect i.e.
• Can you send and receive emails on a PC?
• Access the internet on a PC?
• Access Nova?

CUSTOMER ORDER ISSUE; 
If the issue is relating to an issue with a customer order, please make sure you have fully completed the template below before logging a call to CG Multichannel Support:
Logged By:-    
1. Name/Customer ID -     
2. Email address -    
3. Browser & version being used, e.g. Internet Explorer version 6 -    
4. Date and time stamp (this is very important for checking the logs) -     
5. Description of the issue detailing any error messages -    
6. How long has the site been active e.g. when did they log in and add the item to their basket? - 
7. Test instructions where possible -     
8. A screenshot if they are IT savvy -    

NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

IMPORTANT for C&C: 
Logged By:-    
Name   
Contact number-
Order number: 
Issue 

Please see:
KB0014198 [Matalan] E-Commerce Orders checking.
KB0014440 [Matalan] How to proceed with a metapack label printing fault?
KB0014474 [Matalan] How to proceed with Metapac error unable to create paperwork (the meta pack failed to print)?
KB0014401 [Matalan] How to log/close a call on MetaPack Customer Portal (Incident, Change Request or Information Request)?
KB0014602   [Matalan] How to proceed when Orders do not go through from WM system to Nova? Orders bridged.



",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0646993,2021-03-12 09:06:48,Salesforce platform issue <Not able to access>,1 - Critical,Closed,IS - CG Service Desk,Issue with Software: Salesforce,"Name:- Desislava / 00359882934990

Store:- 60K users

Role:- n/a

Issue:- Desislava called to report that there is issue with social studio platform (salesforce platform). Screen stuck on loading. 

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

Please see : KB0014807 [Matalan] Salesforce - application overview",Matalan,1 - Extensive/Widespread,2 - High,3rd Party - Optima (Pending)
INC0652827,2021-03-13 18:36:46,CDC is not accessible after DB patch ,1 - Critical,Closed,Apps - CG WM0S 2018,Standard Incident,"Name: Prashanth Varikala 

Details:CDC is not accessible after DB patch 

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

NOTE: When logging a call with a 3rd Party/ resolving team, please MAKE SURE that the below details are included in the email:
- Contact Name: 
- Contact Number: 
- Head Office / Store (Delete as appropriate) 
- Store Number (If applicable) 
- Address: 
- Postcode:
- Problem Description:

See KB below or, in case KB is missing, mark knowledge box:
KB0014429 [Matalan] WinSCP - How to configure SFTP connection to Vitesse for DC users
KB0014822 [Matalan] Weekend Reports - WSSI.
KB0014771 [Matalan] Secure Trading Issue.
KB0014816 [Matalan] Stakeholder Pensions.
KB0014790 [Matalan] SQL Developer - ORACLE only available to users with RESTRICTED SESSION privilege
KB0010758 [Matalan] Screen Diares Extract issue
KB0011018 [Matalan] Power BI report issue
KB0011017 [Matalan] Oracle - How to handle POREC file issues?
KB0014751 [Matalan] Metapack error E20094 Unable to modify
KB0014763 [Matalan] Marketing System.
KB0014830 [Matalan] Booking System (DC Booking).
KB0014366 [Matalan] How to proceed with Path/file access error (Spool File Retriever)?
KB0014501 [Matalan] How to proceed with NexGen/ Proud to be Matalan website issue? (Matalan)
KB0014243 [Matalan] How to proceed when User is not seeing any parameter options on the reports or any data (N
KB0015055 [Matalan] How to proceed when user cannot open a video material (CCTV footage)?
KB0014112 [Matalan] Unable to access .ERR files.
KB0014410 [Matalan] How to handle Weaves issue - HASP key not found (H0007)?
KB0014212 [Matalan] How to handle Missing partner articlenumber for Matalan (email)?
KB0014610 [Matalan] How to handle issue with Spool File Retriever? Error: Could not find the FTP command file.
KB0014513 [Matalan] How to handle Air Conditioning Unit issues in DC (server room)?
KB0014861 [Matalan] How to deal with IBM Cognos report issue? The operation failed error message.
KB0014753 [Matalan] Dematic Maintenance - unable to access the Hanging Garment servers via VPN.
KB0014834 [Matalan] Debit Note System.
KB0014729 [Matalan] Citrix issue Citrix plug-in installation
KB0014782 [Matalan] ATC daily sales (Daily sales report).",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0654727,2021-03-14 18:40:41,Meta pack system is not printing labels,1 - Critical,Closed,Apps - CG WM0S 2018,,"Hi,

Can I please raise a call.

Meta pack system is not printing labels therefore we have had to stop packing due to this issue. Can this be raised as a matter of priority as it's stopped the packing process within the eCommerce operation therefore we are unable to despatch.

We have 38 orders that have not produced any labels.

Once resolved can you please call me on 0151 556 6238 so we know we can resume packing.

Regards,

Ben Shipley
eCommerce 4o4o N1 Supervisor
MATALAN Perimeter Road, Knowsley Industrial Park, Liverpool L33 7SZ
Telephone: 0151 556 6804
Email: shipley_b@matalan.co.uk<mailto:shipley_b@matalan.co.uk>

Join the team: www.matalan.jobs<http://www.matalan.jobs/>
Please follow us & find out more about MATALAN
[cid:image001.png@01D71900.B1D30510]<https://www.facebook.com/MatalanJobs/>  [cid:image002.png@01D71900.B1D30510] <https://www.linkedin.com/company/matalan/>   [cid:image003.png@01D71900.B1D30510] <https://www.instagram.com/matalanjobs/>   [cid:image004.png@01D71900.B1D30510] <https://twitter.com/matalanjobs>
[cid:image005.png@01D71900.B1D30510]

The information in this email (and any attachments) is confidential and is for the exclusive use and attention of the intended recipient. Access to or use of this email (and any attachments) by anyone else is unauthorised and prohibited. If you are not the intended recipient, please do not read, print, re-transmit, store or act on it or any of its attachments. Instead, please email it back to the sender and then permanently delete it. Any opinions presented are solely those of the author except where the message states otherwise and the sender is appropriately authorised by Matalan. Matalan accept no responsibility for any damage caused by any virus that may inadvertently be transmitted with this email. This email is sent on behalf of a company within the Matalan group of companies, which includes Matalan Retail Limited (company number 2103564) and Matalan Limited (company number 1579910), all of which are companies registered in England and Wales and who have their registered office at Perimeter Road, Knowsley Industrial Park, Kirkby, Knowsley L33 7SZ.",Matalan,1 - Extensive/Widespread,1 - Critical,
INC0577927,2021-02-24 17:37:23,SW Nova <FCIU3632705 - Turkey-UAE - Not Uploaded>,2 - High,Closed,Apps - CG Nova Support,Issue with Software: Nova - Generic Issue,"**On Matalan Account if password needs to be shared over an email while account creation it is advisable to share the user id and password over separate email and only to the concerned person. Under no circumstances the password should be shared to one who is not authorized to use the same.**


Name: Paul Hill

Issue: FCIU3632705 - Turkey-UAE - Not Uploaded


Additional questions:    

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

IMPORTANT: If we have tills with the wrong PLU details, then a callout should be initiated to CG Retail Java Support to resolve, no matter how many tills are affected, support teams will support over the weekend.

See also:
KB0010293 [Matalan] How to handle issues with access to Nova?
KB0014565  [Matalan] How to proceed when Nova Support requests new ticket creation that needs to be raised with K3?
KB0014348  [Matalan] How to proceed with Nova Proj7 Environment Refresh request (Nova Training Database Refresh)?
KB0014445  [Matalan] How to solve issue with file uploads into Nova (error message: File or Directory not found/ File in use by another process)?
KB0014770  [Matalan] Code change – SDN (Software Delivery Number) Process (Nova and WMOS).
KB0014237  [Matalan] Unable to print from Pennine/Nova.
KB0014646  [Matalan] How to proceed with NOVA Weekly GFK Homeware Sales Extract (GFKWeekly_(DATE).CSV) issue?
KB0014660  [Matalan] Order Printing - Unable to retrieve file from Pennine/ Nova error.
KB0014300  [Matalan] Nova/ Pennine- Programs Not In Scope.
KB0014534  [Matalan] Nova/ CRT/ Pennine Job Controllers error. How to proceed with the Nova/ CRT/ Pennine Job Controllers error? Job controller has not been fund? WMoS Job Controller (MAIFJCX)
KB0014813  [Matalan] Nova/ CRT/ Pennine application – general overview.
KB0014554  [Matalan] Nova/ Pennine manual. How to use Pennine / Nova
KB0014661  [Matalan] Nova/ CRT/ Pennine – Terminate RF. User locked in session
KB0014655  [Matalan] Nova - E-Comm PayPal Returns.
KB0014618  [Matalan] How to cancel a print job in Pennine/ Nova?
KB0014148  [Matalan] How to kill Nova session? Terminate session in Nova.
KB0014612  [Matalan] Checking for Locks in Pennine/ Nova/ CRT. How to check Locks in Pennini/ Nova/ CRT?
KB0014391  [Matalan] How to check if a Pennine/Nova Account is valid?
KB0014540  [Matalan] How to turn on automatic logon to Nova application on your PC?
KB0010132 [Matalan] Unable to print from Pennine/Nova.
KB0014370 [Matalan] Nova / Pennine / CRT software / application issue
KB0014821 [Matalan] IFGRN file processing issue.
KB0014446 [Matalan] How to proceed with Hallmark Sales File?
KB0014713 [Matalan] Ghost Ringfence Issue.
KB0014762 [Matalan] Stock Database.
",Matalan,3 - Moderate/Limited,1 - Critical,
INC0583578,2021-02-25 22:10:58,ESB unable to process multiple Interfaces including EComm order flow ,1 - Critical,Closed,Apps - CG ESB Support,Standard Incident,"Name:  Sumeet Lodha

Details:  ESB unable to process multiple Interfaces including EComm order flow , 
Impacted service will be ecommerce
 Contact number: +447459882560 


- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs) multiple 
2. How urgent this is for you? yes 
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do? 
5. Is there any workaround?
6.  Have you tested it on another PC?

NOTE: When logging a call with a 3rd Party/ resolving team, please MAKE SURE that the below details are included in the email:
- Contact Name: 
- Contact Number: 
- Head Office / Store (Delete as appropriate) 
- Store Number (If applicable) 
- Address: 
- Postcode:
- Problem Description:

See KB below or, in case KB is missing, mark knowledge box:
KB0014429 [Matalan] WinSCP - How to configure SFTP connection to Vitesse for DC users
KB0014822 [Matalan] Weekend Reports - WSSI.
KB0014771 [Matalan] Secure Trading Issue.
KB0014816 [Matalan] Stakeholder Pensions.
KB0014790 [Matalan] SQL Developer - ORACLE only available to users with RESTRICTED SESSION privilege
KB0010758 [Matalan] Screen Diares Extract issue
KB0011018 [Matalan] Power BI report issue
KB0011017 [Matalan] Oracle - How to handle POREC file issues?
KB0014751 [Matalan] Metapack error E20094 Unable to modify
KB0014763 [Matalan] Marketing System.
KB0014830 [Matalan] Booking System (DC Booking).
KB0014366 [Matalan] How to proceed with Path/file access error (Spool File Retriever)?
KB0014501 [Matalan] How to proceed with NexGen/ Proud to be Matalan website issue? (Matalan)
KB0014243 [Matalan] How to proceed when User is not seeing any parameter options on the reports or any data (N
KB0015055 [Matalan] How to proceed when user cannot open a video material (CCTV footage)?
KB0014112 [Matalan] Unable to access .ERR files.
KB0014410 [Matalan] How to handle Weaves issue - HASP key not found (H0007)?
KB0014212 [Matalan] How to handle Missing partner articlenumber for Matalan (email)?
KB0014610 [Matalan] How to handle issue with Spool File Retriever? Error: Could not find the FTP command file.
KB0014513 [Matalan] How to handle Air Conditioning Unit issues in DC (server room)?
KB0014861 [Matalan] How to deal with IBM Cognos report issue? The operation failed error message.
KB0014753 [Matalan] Dematic Maintenance - unable to access the Hanging Garment servers via VPN.
KB0014834 [Matalan] Debit Note System.
KB0014729 [Matalan] Citrix issue Citrix plug-in installation
KB0014782 [Matalan] ATC daily sales (Daily sales report).",Matalan,1 - Extensive/Widespread,1 - Critical,
